record_id,category,created,created_by,description,display_name,id,last_modified_by,last_modified_time,score,sort_order,source_metrics,sub-category
recNeivbAedK0QPI4,fruit_sources,2025-09-12T17:46:32.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Peaches, plums, apricots, cherries, nectarines",Stone Fruits,stone_fruits,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:23.000Z,0.8,4,rec89pI1KfH6tF8Yo,
recsMolHrD8Rpa3TZ,fruit_sources,2025-09-12T17:46:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Bananas, mangoes, pineapples, kiwi, papaya",Tropical Fruits,tropical,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:03.000Z,0.7,5,rec89pI1KfH6tF8Yo,
recLRfB5jrWbs6EA7,fruit_sources,2025-09-12T17:46:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Red, green, or purple grapes",Grapes,grapes,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:03.000Z,0.6,6,rec89pI1KfH6tF8Yo,
recjAWBMxEil2oCgK,fruit_sources,2025-09-12T17:46:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Watermelon, cantaloupe, honeydew",Melons,melons,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:03.000Z,0.7,7,rec89pI1KfH6tF8Yo,
rectNA7odycM8vadR,fruit_sources,2025-09-12T17:46:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Raisins, dates, dried apricots, prunes (without added sugar)",Dried Fruits,dried_fruits,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:03.000Z,0.5,8,rec89pI1KfH6tF8Yo,
rec08zasyTKWfarJz,fiber_sources,2025-09-12T17:46:55.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Beans, lentils, chickpeas, peas",Legumes,legumes,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:35.000Z,1,1,recD2sdY7rzBPFKaf,
reczw8Izp9TG7MBuc,fiber_sources,2025-09-12T17:47:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Oats, quinoa, brown rice, whole wheat",Whole Grains,whole_grains,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:39.000Z,0.9,2,recD2sdY7rzBPFKaf,
recBmWnM0ctOZPOFN,fiber_sources,2025-09-12T17:47:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Broccoli, Brussels sprouts, artichokes, leafy greens",Vegetables,vegetables,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:39.000Z,0.9,3,recD2sdY7rzBPFKaf,
recrAwSNcLc8zMhHO,fiber_sources,2025-09-12T17:47:09.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Apples, pears, berries, bananas",Fruits,fruits,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:39.000Z,0.8,4,recD2sdY7rzBPFKaf,
rec2V8z1utyAbiehK,fiber_sources,2025-09-12T17:47:13.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Chia seeds, flax seeds, almonds, walnuts",Nuts & Seeds,nuts_seeds,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:39.000Z,0.8,5,recD2sdY7rzBPFKaf,
recrxa1VyaaXYp9f5,fiber_sources,2025-09-12T17:47:17.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fresh avocado,Avocado,avocado,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:39.000Z,0.7,6,recD2sdY7rzBPFKaf,
reco3vVXIHq6VF36t,fiber_sources,2025-09-12T17:47:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Psyllium husk supplement,Psyllium Husk,psyllium,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:39.000Z,0.6,7,recD2sdY7rzBPFKaf,
recoQY71R2eDRM7oG,vegetable_sources,2025-09-12T17:45:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Spinach, kale, arugula, lettuce, chard",Leafy Greens,leafy_greens,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:09.000Z,1,1,reckKP7lbdTDlCEeQ,
recZZGfOevJsRoZ4D,vegetable_sources,2025-09-12T17:47:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Broccoli, cauliflower, Brussels sprouts, cabbage",Cruciferous Vegetables,cruciferous,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:41.000Z,1,2,reckKP7lbdTDlCEeQ,
recgoc5kZUkrvy9WC,vegetable_sources,2025-09-12T17:47:31.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Red, yellow, orange, and green bell peppers",Colorful Peppers,colorful_peppers,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:44.000Z,0.9,3,reckKP7lbdTDlCEeQ,
recoAqcbhE6c01m95,vegetable_sources,2025-09-12T17:47:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Carrots, beets, sweet potatoes, turnips",Root Vegetables,root_vegetables,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:44.000Z,0.8,4,reckKP7lbdTDlCEeQ,
recRDVLSQ5Lnj2JDZ,vegetable_sources,2025-09-12T17:47:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Onions, garlic, leeks, shallots",Alliums,alliums,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:44.000Z,0.8,5,reckKP7lbdTDlCEeQ,
rechxCZ5nBS5c4gZ0,vegetable_sources,2025-09-12T17:47:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Fresh tomatoes, cherry tomatoes, roma tomatoes",Tomatoes,tomatoes,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:47:44.000Z,0.7,6,reckKP7lbdTDlCEeQ,
recCKPRdJBfLGP1as,vegetable_sources,2025-09-12T17:47:47.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Zucchini, yellow squash, butternut squash",Squash & Zucchini,squash_zucchini,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:00.000Z,0.7,7,reckKP7lbdTDlCEeQ,
recrIIlhLEB6urWV5,vegetable_sources,2025-09-12T17:47:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Button, shiitake, portobello, other edible mushrooms",Mushrooms,mushrooms,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:00.000Z,0.6,8,reckKP7lbdTDlCEeQ,
recHSVcpZG5sV7Nf7,vegetable_sources,2025-09-12T17:47:56.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Potatoes, corn, peas (counted as vegetables)",Starchy Vegetables,starchy_vegetables,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:00.000Z,0.5,9,reckKP7lbdTDlCEeQ,
rec6uv4a1IHfCWBvo,whole_grain_sources,2025-09-12T17:48:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Steel-cut oats, rolled oats, oatmeal",Oats,oats,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:12.000Z,1,1,recFc0mIL0x0jFNbf,
recCml4jJmfv9RCu1,whole_grain_sources,2025-09-12T17:48:10.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",All varieties of quinoa,Quinoa,quinoa,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:14.000Z,1,2,recFc0mIL0x0jFNbf,
rec1KXndE5yf48Kfv,whole_grain_sources,2025-09-12T17:48:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Brown rice, wild rice, black rice",Brown Rice,brown_rice,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:27.000Z,0.9,3,recFc0mIL0x0jFNbf,
recO2M8hHgrXn8Jcb,whole_grain_sources,2025-09-12T17:48:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Whole wheat bread, pasta, flour products",Whole Wheat,whole_wheat,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:27.000Z,0.8,4,recFc0mIL0x0jFNbf,
recMmv2yKXLSt2Rhk,whole_grain_sources,2025-09-12T17:48:23.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Pearled barley, hulled barley",Barley,barley,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:27.000Z,0.8,5,recFc0mIL0x0jFNbf,
recRcvLtzcoa2Hax1,whole_grain_sources,2025-09-12T17:48:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Buckwheat groats, buckwheat flour",Buckwheat,buckwheat,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:29.000Z,0.8,6,recFc0mIL0x0jFNbf,
recINgZ7BJOS7iBVa,whole_grain_sources,2025-09-12T17:48:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Whole millet grains,Millet,millet,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:34.000Z,0.7,7,recFc0mIL0x0jFNbf,
rec28suOtCw8LaDO6,whole_grain_sources,2025-09-12T17:48:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",100% whole grain breads and products,Whole Grain Bread,whole_grain_bread,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:38.000Z,0.7,8,recFc0mIL0x0jFNbf,
recdKhQgQSCBUPldv,whole_grain_sources,2025-09-12T17:48:44.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Ancient wheat grain farro,Farro,farro,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:53.000Z,0.8,9,recFc0mIL0x0jFNbf,
recICDU3C6INbvn3v,legume_sources,2025-09-12T17:48:49.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Red, green, brown, or black lentils",Lentils,lentils,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:57.000Z,1,1,recZb4SQfXZb0tMcT,
recAY6XUfb3Gk0jg7,legume_sources,2025-09-12T17:48:53.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Garbanzo beans, hummus",Chickpeas,chickpeas,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:59.000Z,1,2,recZb4SQfXZb0tMcT,
recwM6rEqFQgQBUSv,legume_sources,2025-09-12T17:48:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Black turtle beans,Black Beans,black_beans,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:48:59.000Z,0.9,3,recZb4SQfXZb0tMcT,
recjQm1gtUXAFyZkF,legume_sources,2025-09-12T17:49:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Red kidney beans, white kidney beans",Kidney Beans,kidney_beans,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:49:03.000Z,0.9,4,recZb4SQfXZb0tMcT,
recfj6Skncl57bhaK,legume_sources,2025-09-12T17:49:08.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Pinto beans, refried beans",Pinto Beans,pinto_beans,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:49:12.000Z,0.9,5,recZb4SQfXZb0tMcT,
recKOOG4GRfAmkEnD,legume_sources,2025-09-12T17:49:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Small white beans,Navy Beans,navy_beans,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T17:49:20.000Z,0.9,6,recZb4SQfXZb0tMcT,
recPK3YescYbSoG1X,legume_sources,2025-09-12T17:49:20.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Green or yellow split peas,Split Peas,split_peas,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T19:39:10.000Z,0.8,7,recZb4SQfXZb0tMcT,
rec0pDw2ozowfrWYW,legume_sources,2025-09-12T17:49:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}","Black-eyed peas, cowpeas",Black-Eyed Peas,black_eyed_peas,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T19:39:10.000Z,0.8,8,recZb4SQfXZb0tMcT,
rec3OOzbDUa3hFbXJ,legume_sources,2025-09-12T17:49:33.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Young soybeans,Edamame,edamame,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T19:39:10.000Z,0.7,9,recZb4SQfXZb0tMcT,
recWx2l4oQ9JuKgjy,legume_sources,2025-09-12T17:49:37.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fresh or frozen green peas,Green Peas,green_peas,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-12T19:39:10.000Z,0.7,10,recZb4SQfXZb0tMcT,
recHm61FJq35AAS7X,fat_sources,2025-09-22T22:26:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Dairy-based cooking and spreading fat,Butter,butter,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:18.000Z,0.1,1,rectMLBlRfTVKEUmJ,saturated_fats
recHoCAgoBlsJ67E8,fat_sources,2025-09-22T22:26:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Tropical oil high in saturated fat,Coconut Oil,coconut_oil,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.3,2,rectMLBlRfTVKEUmJ,saturated_fats
recUlvyGDyDHVnOwS,fat_sources,2025-09-22T22:26:38.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Tropical oil high in saturated fat,Palm Oil,palm_oil,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.1,3,rectMLBlRfTVKEUmJ,saturated_fats
recHBYMXqtnXvnD2F,fat_sources,2025-09-22T22:26:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Rendered pork fat,Lard,lard,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.1,4,rectMLBlRfTVKEUmJ,saturated_fats
recwJFEf3IMfIQRsh,fat_sources,2025-09-22T22:26:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Clarified butter,Ghee,ghee,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.2,5,rectMLBlRfTVKEUmJ,saturated_fats
rect9xjFSJTMX62ku,fat_sources,2025-09-22T22:26:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",High-fat dairy spread,Cream Cheese,cream_cheese,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.1,6,rectMLBlRfTVKEUmJ,saturated_fats
recVNi1A2ipqy3EDL,fat_sources,2025-09-22T22:26:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",High-fat dairy liquid,Heavy Cream,heavy_cream,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.1,7,rectMLBlRfTVKEUmJ,saturated_fats
recpkvIpjyqpcQ6Mv,fat_sources,2025-09-22T22:26:40.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",Fermented dairy product,Sour Cream,sour_cream,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-24T01:31:54.000Z,0.2,8,rectMLBlRfTVKEUmJ,saturated_fats
