record_id,calculated_metric_ui_display,calculated_metric_unit,config_id,config_name,created,created_by,id_start,last_modified_by,last_modified_time,level_description_from_recommendations_v2,overview_from_recommendations_v2,recommendations_v2,schema_calculated_metrics,schema_daily_limit,schema_progress_direction,schema_required_days,schema_target,schema_total_days,schema_tracked_metrics,schema_units,scoring_method,title_from_recommendations_v2,ui_display_from_schema_tracked_metrics,units_from_schema_tracked_metrics
recJ1itRNVC7ZzTHJ,g/kg,recBTPaVHpnpAdgBV,REC0006.3-PROPORTIONAL,Proportional Achievement - dietary_protein_grams,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Achieve 1.2–1.5 g/kg body weight daily (or increase by 35–40g from baseline, using tracking/logging tools)","Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",recrj2SLthVc3gwFD,rec9KRoI8TVBXgf5V,,buildup,7,1.35,7,"rec9VOCYi7lD6QRU8, recunORvw3BNmaN4P",grams_per_kg,reck6MaFW6OOx5SJ2,Increase Protein Intake,"Grams, Kilograms","recBuF3n8IQ2v0Io8, rechJvygUSVpcnQwZ"
rec9JSD8ejL2K3q3F,Servings,recZBMdCzE5sRxqOQ,REC0007.1-PROPORTIONAL,Proportional Achievement - dietary_vegetables,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Include at least 2 servings of vegetables throughout each day.,"Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.",rec7WBPPkFwl2cCTn,receP0uJG8ReWogvl,,buildup,7,2,7,rec0rSFQ8gP9rPSup,serving,reck6MaFW6OOx5SJ2,Increase Vegetable Intake,Servings,recZBMdCzE5sRxqOQ
recUCzLe68dm7KpQk,Servings,recZBMdCzE5sRxqOQ,REC0008.1-PROPORTIONAL,Proportional Achievement - dietary_fruits,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Include at least 2 servings of fruit throughout each day.,"Regular fruit intake provides essential vitamins, minerals, antioxidants, and fiber. Eating a variety of fruits supports metabolic health, immune function, healthy aging, and helps lower risk of chronic diseases.",recKokSledWI4bTMu,recHDABFxYSwsWiIP,,buildup,7,2,7,recMi1W2H0fBc2kdF,serving,reck6MaFW6OOx5SJ2,Increase Fruit Intake,Servings,recZBMdCzE5sRxqOQ
rectoj9aQg387JdRN,Servings,recZBMdCzE5sRxqOQ,REC0011.1-PROPORTIONAL,Proportional Achievement - dietary_whole_grain_servings,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Include at least 2 servings of whole grains throughout each day.,"Whole grains are rich in fiber, vitamins, and minerals that support metabolic, digestive, and cardiovascular health. Regular intake is linked to longevity and reduced risk.",recxJ5SGXwlKZi3Yx,recbhvuUmr944Cq4w,,buildup,7,2,7,recwPxK8MnKe5NICN,serving,reck6MaFW6OOx5SJ2,Increase Whole Grain Intake,Servings,recZBMdCzE5sRxqOQ
receR7AWCsF2VI8kR,Servings,recZBMdCzE5sRxqOQ,REC0011.2-PROPORTIONAL,Proportional Achievement - dietary_whole_grain_servings,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Include a serving of whole grains at every main meal (breakfast, lunch, dinner)","Whole grains are rich in fiber, vitamins, and minerals that support metabolic, digestive, and cardiovascular health. Regular intake is linked to longevity and reduced risk.",recHmnkVWvfAeVlkf,recbhvuUmr944Cq4w,,buildup,7,3,7,recwPxK8MnKe5NICN,serving,reck6MaFW6OOx5SJ2,Increase Whole Grain Intake,Servings,recZBMdCzE5sRxqOQ
recECe95jC9Qh46SF,Servings,recZBMdCzE5sRxqOQ,REC0012.1-PROPORTIONAL,Proportional Achievement - daily_legume_servings,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Include at least 2 servings of legumes throughout each day.,"Legumes provide plant-based protein, fiber, and micronutrients that promote metabolic, digestive, and cardiovascular health. Regular intake supports longevity and gut health.",recrvCMVhlALtE7kK,reclpXrHPKzZjgU7G,,buildup,7,2,7,recOGyfPPsAJH0a1z,serving,reck6MaFW6OOx5SJ2,Increase Legume Intake,Servings,recZBMdCzE5sRxqOQ
recbqMtkEVwVia4eJ,Sessions,recyl9Pa45s71Mrs8,REC0025.1-PROPORTIONAL,Proportional Weekly - zone2_cardio_sessions,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 2 Zone 2 cardio sessions per week, any duration","Zone 2 cardio—sustained, moderate-intensity aerobic activity—improves metabolic, mitochondrial, and cardiovascular health.",recQgWg7fhQjwfIPx,recV15gLGNvPjCjXz,,buildup,2,2,7,rec0rZ7bwDGvhJLxh,session,reck6MaFW6OOx5SJ2,Zone 2 Cardio Sessions,Time of Day,recv2GuhbmM9UdNDp
rectulJb2KjvyTb6d,Sessions,recyl9Pa45s71Mrs8,REC0025.2-PROPORTIONAL,Proportional Weekly - zone2_cardio_sessions,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 3 Zone 2 cardio sessions per week, any duration

Note: Daily contributions are capped at 2 sessions for progress tracking","Zone 2 cardio—sustained, moderate-intensity aerobic activity—improves metabolic, mitochondrial, and cardiovascular health.",recqKvugcEkV4FDmK,recV15gLGNvPjCjXz,2,buildup,2,3,7,rec0rZ7bwDGvhJLxh,session,reck6MaFW6OOx5SJ2,Zone 2 Cardio Sessions,Time of Day,recv2GuhbmM9UdNDp
recMA6JSnilQv51aQ,Sessions,recyl9Pa45s71Mrs8,REC0025.3-PROPORTIONAL,Proportional Weekly - zone2_cardio_sessions,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 5 Zone 2 cardio sessions per week, any duration

Note: Daily contributions are capped at 2 sessions for progress tracking","Zone 2 cardio—sustained, moderate-intensity aerobic activity—improves metabolic, mitochondrial, and cardiovascular health.",reccgzcQs3ReCRZiN,recV15gLGNvPjCjXz,2,buildup,3,5,7,rec0rZ7bwDGvhJLxh,session,reck6MaFW6OOx5SJ2,Zone 2 Cardio Sessions,Time of Day,recv2GuhbmM9UdNDp
recPF6YkniPMVf6sw,Sessions,recyl9Pa45s71Mrs8,REC0027.1-PROPORTIONAL,Proportional Weekly - strength_training_sessions,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Complete at least 1 strength training session per week,"Strength training supports muscle, bone, and metabolic health, improves longevity, and reduces injury risk.",recLjtJEXpCzCkeae,recdMrsqBFfup2dOC,,buildup,1,1,7,recWctXUxSNalVoS2,session,reck6MaFW6OOx5SJ2,Strength Training Sessions,Time of Day,recv2GuhbmM9UdNDp
recDgSXfugOITmd5p,Sessions,recyl9Pa45s71Mrs8,REC0027.2-PROPORTIONAL,Proportional Weekly - strength_training_sessions,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 2 strength training sessions per week

Note: Daily contributions are capped at 1 session for progress tracking","Strength training supports muscle, bone, and metabolic health, improves longevity, and reduces injury risk.",recYD8fyMs8TZaj9w,recdMrsqBFfup2dOC,1,buildup,2,2,7,recWctXUxSNalVoS2,session,reck6MaFW6OOx5SJ2,Strength Training Sessions,Time of Day,recv2GuhbmM9UdNDp
recPWXLoNH9Ov6ESX,Sessions,recyl9Pa45s71Mrs8,REC0027.3-PROPORTIONAL,Proportional Weekly - strength_training_sessions,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Complete at least 3 strength training sessions per week

Note: Daily contributions are capped at 1 session for progress tracking","Strength training supports muscle, bone, and metabolic health, improves longevity, and reduces injury risk.",reccM1F6ztegvuj41,recdMrsqBFfup2dOC,1,buildup,3,3,7,recWctXUxSNalVoS2,session,reck6MaFW6OOx5SJ2,Strength Training Sessions,Time of Day,recv2GuhbmM9UdNDp
rec3Kh3FT9KBK1PiT,Minutes,recLNmY0jLZKxr5fs,REC0028.1-PROPORTIONAL,Proportional Achievement - strength_training_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Accumulate at least 60 minutes of strength training per week,The total weekly time spent on strength training is a key driver for muscle adaptation and longevity.,recM8FomYRHaUcOJC,recK25xzjBBpVXf1L,,buildup,7,60,7,recWctXUxSNalVoS2,minutes,reck6MaFW6OOx5SJ2,Strength Training Duration,Time of Day,recv2GuhbmM9UdNDp
recEpdgAA93YGWgJY,Minutes,recLNmY0jLZKxr5fs,REC0028.2-PROPORTIONAL,Proportional Achievement - strength_training_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Accumulate at least 120 minutes of strength training per week 

Note: Daily contributions are capped at 90 minutes for progress tracking",The total weekly time spent on strength training is a key driver for muscle adaptation and longevity.,rec0P4s0n2NSp3UqE,recK25xzjBBpVXf1L,90,buildup,7,120,7,recWctXUxSNalVoS2,minutes,reck6MaFW6OOx5SJ2,Strength Training Duration,Time of Day,recv2GuhbmM9UdNDp
rechESp8KXeuUj1py,Minutes,recLNmY0jLZKxr5fs,REC0028.3-PROPORTIONAL,Proportional Achievement - strength_training_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Accumulate at least 180 minutes of strength training per week

Note: Daily contributions are capped at 90 minutes for progress tracking",The total weekly time spent on strength training is a key driver for muscle adaptation and longevity.,recy0MwATPDhKLOrN,recK25xzjBBpVXf1L,90,buildup,7,180,7,recWctXUxSNalVoS2,minutes,reck6MaFW6OOx5SJ2,Strength Training Duration,Time of Day,recv2GuhbmM9UdNDp
rec03AHCPIPzhNXvZ,Minutes,recLNmY0jLZKxr5fs,REC0030.1-PROPORTIONAL,Proportional Achievement - hiit_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Accumulate at least 20 minutes of HIIT per week,"Short, focused HIIT bursts provide substantial cardiovascular and metabolic benefits.",reckEuLFlXQgQjaQr,rec6pxIMWMet3Y8Oo,,buildup,1,20,7,recDYU7Wvc26S0Wd1,minutes,reck6MaFW6OOx5SJ2,HIIT Duration,Time of Day,recv2GuhbmM9UdNDp
recnMV3GGJvhBBSSy,Minutes,recLNmY0jLZKxr5fs,REC0030.2-PROPORTIONAL,Proportional Achievement - hiit_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Accumulate at least 40 minutes of HIIT per week

Note: Daily contributions are capped at 30 minutes for progress tracking","Short, focused HIIT bursts provide substantial cardiovascular and metabolic benefits.",rec7xthCyBwFCl0Qq,rec6pxIMWMet3Y8Oo,30,buildup,1,40,7,recDYU7Wvc26S0Wd1,minutes,reck6MaFW6OOx5SJ2,HIIT Duration,Time of Day,recv2GuhbmM9UdNDp
recry1uEY8VeQW0b0,Minutes,recLNmY0jLZKxr5fs,REC0030.3-PROPORTIONAL,Proportional Achievement - hiit_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,"Accumulate at least 60 minutes of HIIT per week 

Note: Daily contributions are capped at 30 minutes for progress tracking","Short, focused HIIT bursts provide substantial cardiovascular and metabolic benefits.",recyxKyMXE1K8gaeJ,rec6pxIMWMet3Y8Oo,30,buildup,1,60,7,recDYU7Wvc26S0Wd1,minutes,reck6MaFW6OOx5SJ2,HIIT Duration,Time of Day,recv2GuhbmM9UdNDp
recHViXe0o6zCFO1X,Minutes,recLNmY0jLZKxr5fs,REC0034.1-PROPORTIONAL,Proportional Achievement - daily_mobility_duration,2025-09-23T00:42:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",PROPORTIONAL,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-26T21:42:59.000Z,Begin: Achieve at least 20 minutes of total mobility work per week,"Short, frequent mobility work helps restore movement patterns, prevent stiffness, and builds a foundation for lifelong resilience.",recCELntREUIFKJgO,recCxGdWa5gkHU5P3,,buildup,1,20,7,recEgGgnWikfgJQCK,minutes,reck6MaFW6OOx5SJ2,Weekly Mobility Minutes,Time of Day,recv2GuhbmM9UdNDp
